                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.548,                 14.032,                 4.5442,                      0,                      0,                      0,                      0,                 6.8239,                 11.431,                 4.1596,                      0,                      0,                      0
                      2,                 6.8534,                 15.961,                 4.4616,                      0,                      0,                      0,                      0,                  6.824,                 11.438,                 4.1603,             1.8763e-05,             1.8763e-05,             1.8763e-05
                      3,                 5.9414,                 8.1487,                 4.6111,                      0,                      0,                      0,                      0,                 6.8241,                 11.446,                 4.1609,              3.505e-05,              3.505e-05,              3.505e-05
                      4,                 6.8935,                 22.512,                 4.4584,                      0,                      0,                      0,                      0,                 6.8242,                 11.453,                 4.1616,             4.8863e-05,             4.8863e-05,             4.8863e-05
                      5,                 6.7991,                  16.24,                 4.2508,                      0,                      0,                      0,                      0,                 6.8243,                  11.46,                 4.1623,               6.02e-05,               6.02e-05,               6.02e-05
                      6,                 6.8225,                 15.166,                 4.2581,                      0,                      0,                      0,                      0,                 6.8243,                 11.466,                 4.1631,             6.9063e-05,             6.9063e-05,             6.9063e-05
                      7,                 6.5184,                 13.583,                 4.4855,                      0,                      0,                      0,                      0,                 6.8244,                 11.472,                 4.1639,              7.545e-05,              7.545e-05,              7.545e-05
                      8,                 6.4032,                 17.151,                 4.5662,                      0,                      0,                      0,                      0,                 6.8245,                 11.479,                 4.1649,             7.9362e-05,             7.9362e-05,             7.9362e-05
                      9,                 5.6476,                  10.97,                 4.9164,                      0,                      0,                      0,                      0,                 6.8245,                 11.485,                 4.1659,               8.08e-05,               8.08e-05,               8.08e-05
                     10,                 6.1366,                 10.811,                 4.4319,                      0,                      0,                      0,                      0,                 6.8246,                 11.492,                  4.167,             7.9763e-05,             7.9763e-05,             7.9763e-05
                     11,                  6.046,                 12.308,                 4.4055,                      0,                      0,                      0,                      0,                 6.8247,                   11.5,                 4.1682,              7.625e-05,              7.625e-05,              7.625e-05
                     12,                 6.4367,                 10.993,                 4.0497,                      0,                      0,                      0,                      0,                 6.8248,                 11.508,                 4.1695,             7.0263e-05,             7.0263e-05,             7.0263e-05
                     13,                 5.5283,                 9.8211,                 4.8299,                      0,                      0,                      0,                      0,                 6.8248,                 11.517,                 4.1708,               6.18e-05,               6.18e-05,               6.18e-05
                     14,                 6.5443,                 11.399,                 4.1131,                      0,                      0,                      0,                      0,                 6.8249,                 11.527,                 4.1722,             5.0863e-05,             5.0863e-05,             5.0863e-05
                     15,                 5.4649,                  7.471,                 4.2753,                      0,                      0,                      0,                      0,                 6.8251,                 11.538,                 4.1737,              3.745e-05,              3.745e-05,              3.745e-05
                     16,                 5.2795,                 8.6129,                  4.678,                      0,                      0,                      0,                      0,                 6.8251,                 11.548,                 4.1751,             2.1562e-05,             2.1562e-05,             2.1562e-05
