                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5469,                 3.9646,                 4.2259,                0.00103,                 0.0678,                0.00109,                0.00032,                 2.9221,                 4.0553,                  4.159,                      0,                      0,                      0
                      2,                  3.663,                 4.0442,                 4.2127,                0.00103,                 0.0678,                0.00109,                0.00032,                 2.9224,                 4.0552,                  4.159,             1.9381e-05,             1.9381e-05,             1.9381e-05
                      3,                 3.5045,                  3.956,                 4.2278,                0.00103,                 0.0678,                0.00106,                0.00031,                 2.9226,                 4.0552,                  4.159,             3.7525e-05,             3.7525e-05,             3.7525e-05
                      4,                 3.9681,                 3.8294,                  4.218,                0.00103,                 0.0678,                0.00095,                0.00033,                 2.9228,                 4.0552,                  4.159,             5.4431e-05,             5.4431e-05,             5.4431e-05
                      5,                 3.7707,                 3.9599,                 4.1821,                0.00103,                 0.0678,                0.00088,                0.00031,                  2.923,                 4.0552,                 4.1589,               7.01e-05,               7.01e-05,               7.01e-05
                      6,                 3.5353,                 4.0425,                 4.2076,                0.00103,                 0.0678,                0.00105,                0.00036,                 2.9231,                 4.0553,                 4.1588,             8.4531e-05,             8.4531e-05,             8.4531e-05
                      7,                 3.4977,                 4.0463,                 4.1979,                0.00103,                 0.0678,                0.00167,                0.00054,                 2.9232,                 4.0553,                 4.1586,             9.7725e-05,             9.7725e-05,             9.7725e-05
                      8,                 3.8119,                 4.0012,                 4.2264,                0.00103,                 0.0678,                0.00064,                0.00022,                 2.9232,                 4.0554,                 4.1583,             0.00010968,             0.00010968,             0.00010968
                      9,                 3.8411,                 3.8511,                 4.2198,                0.00103,                 0.0678,                0.00068,                0.00025,                 2.9233,                 4.0555,                  4.158,              0.0001204,              0.0001204,              0.0001204
                     10,                 3.4731,                 4.0502,                 4.2732,                0.00103,                 0.0678,                0.00064,                0.00019,                 2.9233,                 4.0557,                 4.1575,             0.00012988,             0.00012988,             0.00012988
                     11,                 3.3814,                 3.9732,                 4.2004,                0.00103,                 0.0678,                0.00063,                0.00023,                 2.9233,                 4.0559,                  4.157,             0.00013813,             0.00013813,             0.00013813
                     12,                 3.8345,                 3.8483,                 4.1807,                0.00103,                 0.0678,                0.00064,                0.00023,                 2.9232,                  4.056,                 4.1565,             0.00014513,             0.00014513,             0.00014513
                     13,                 3.4662,                  3.911,                 4.2152,                0.00103,                 0.0678,                0.00064,                0.00024,                  2.923,                 4.0562,                 4.1559,              0.0001509,              0.0001509,              0.0001509
                     14,                 3.6947,                 3.7943,                 4.2136,                0.00103,                 0.0678,                0.00064,                0.00021,                 2.9228,                 4.0564,                 4.1552,             0.00015543,             0.00015543,             0.00015543
                     15,                 3.1922,                 3.8239,                 4.1691,                0.00103,                 0.0678,                0.00066,                0.00021,                 2.9225,                 4.0568,                 4.1545,             0.00015872,             0.00015872,             0.00015872
                     16,                 3.8027,                 3.8479,                 4.1784,                0.00103,                 0.0678,                0.00064,                0.00024,                 2.9222,                  4.057,                 4.1537,             0.00016078,             0.00016078,             0.00016078
                     17,                 3.3369,                 4.0458,                  4.175,                0.00103,                 0.0678,                0.00062,                0.00022,                 2.9219,                 4.0571,                 4.1529,              0.0001616,              0.0001616,              0.0001616
                     18,                  3.443,                 3.9367,                 4.2334,                0.00103,                 0.0678,                0.00062,                0.00022,                 2.9219,                 4.0571,                 4.1529,             0.00016118,             0.00016118,             0.00016118
                     19,                 3.5615,                 3.8509,                 4.2149,                0.00103,                 0.0678,                0.00065,                0.00022,                 2.9215,                 4.0577,                 4.1515,             0.00015953,             0.00015953,             0.00015953
                     20,                 3.2233,                 3.9264,                 4.1407,                0.00103,                 0.0678,                0.00065,                0.00022,                 2.9215,                 4.0577,                 4.1515,             0.00015663,             0.00015663,             0.00015663
                     21,                 3.6143,                 3.8427,                  4.153,                0.00103,                 0.0678,                0.00063,                0.00024,                  2.921,                 4.0578,                 4.1501,              0.0001525,              0.0001525,              0.0001525
                     22,                 3.3178,                 3.8055,                 4.1551,                0.00103,                 0.0678,                0.00063,                0.00024,                  2.921,                 4.0578,                 4.1501,             0.00014713,             0.00014713,             0.00014713
                     23,                 2.9055,                 3.9113,                 4.1809,                0.00103,                 0.0678,                 0.0008,                0.00024,                 2.9204,                  4.058,                 4.1486,             0.00014053,             0.00014053,             0.00014053
                     24,                 3.0846,                 3.9283,                 4.1388,                0.00103,                 0.0678,                 0.0008,                0.00024,                 2.9204,                  4.058,                 4.1486,             0.00013268,             0.00013268,             0.00013268
                     25,                  3.051,                 3.9469,                 4.1534,                0.00103,                 0.0678,                 0.0011,                0.00028,                 2.9198,                  4.058,                 4.1471,              0.0001236,              0.0001236,              0.0001236
                     26,                 3.5575,                 3.9752,                 4.1424,                0.00103,                 0.0678,                 0.0011,                0.00028,                 2.9198,                  4.058,                 4.1471,             0.00011328,             0.00011328,             0.00011328
                     27,                 2.9627,                 3.9416,                  4.139,                0.00103,                 0.0678,                0.00129,                0.00026,                 2.9191,                 4.0578,                 4.1458,             0.00010173,             0.00010173,             0.00010173
                     28,                   3.44,                 3.9787,                 4.1953,                0.00103,                 0.0678,                0.00129,                0.00026,                 2.9191,                 4.0578,                 4.1458,             8.8931e-05,             8.8931e-05,             8.8931e-05
                     29,                 3.6082,                 3.9695,                 4.2228,                0.00103,                 0.0678,                0.00171,                0.00034,                 2.9185,                 4.0575,                 4.1445,               7.49e-05,               7.49e-05,               7.49e-05
                     30,                 3.1117,                 3.8763,                 4.1239,                0.00103,                 0.0678,                0.00171,                0.00034,                 2.9185,                 4.0575,                 4.1445,             5.9631e-05,             5.9631e-05,             5.9631e-05
                     31,                 2.9227,                 4.0785,                 4.1452,                0.00103,                 0.0678,                0.00127,                0.00027,                 2.9179,                 4.0573,                 4.1433,             4.3125e-05,             4.3125e-05,             4.3125e-05
                     32,                 2.8735,                 3.9489,                 4.2041,                0.00103,                 0.0678,                0.00127,                0.00027,                 2.9179,                 4.0573,                 4.1433,             2.5381e-05,             2.5381e-05,             2.5381e-05
